iter	Logloss
0	0.6902871844
1	0.6872410614
2	0.6844587219
3	0.6815958624
4	0.6790440768
5	0.6761467237
6	0.6732557953
7	0.6705394939
8	0.6680045601
9	0.6650549137
10	0.662585228
11	0.6598247433
12	0.6572605821
13	0.6545091552
14	0.6518222917
15	0.6491005135
16	0.6466036016
17	0.643973929
18	0.6412732681
19	0.6388393925
20	0.6363843469
21	0.6340424716
22	0.6315005338
23	0.629079929
24	0.6268907733
25	0.6242374555
26	0.6221440392
27	0.6195367479
28	0.6170763307
29	0.6145630409
30	0.6122044192
31	0.6101498147
32	0.6079808812
33	0.6057365358
34	0.603422782
35	0.6010760093
36	0.5990161912
37	0.5969669056
38	0.5948561108
39	0.5930847747
40	0.5908828222
41	0.5889493927
42	0.5868018926
43	0.584682198
44	0.5825997353
45	0.5805373895
46	0.578545558
47	0.5764106968
48	0.5746043405
49	0.5725461023
50	0.5707363231
51	0.5687623966
52	0.5668236483
53	0.5648446137
54	0.5629288786
55	0.560923039
56	0.5589966663
57	0.5570349047
58	0.555097631
59	0.5532860612
60	0.5515589085
61	0.5497078949
62	0.5477933711
63	0.5459202395
64	0.5442804002
65	0.5423836762
66	0.5407495244
67	0.5390161575
68	0.5371294919
69	0.5353560493
70	0.5335897688
71	0.5316350112
72	0.5301266688
73	0.5285486546
74	0.526970851
75	0.5254985293
76	0.5239612754
77	0.5224343959
78	0.5209614949
79	0.5193090694
80	0.5175583768
81	0.5158064203
82	0.5142135028
83	0.5125178945
84	0.510976849
85	0.5094630297
86	0.5078063912
87	0.5061866161
88	0.5048050309
89	0.503256086
90	0.5016710151
91	0.5001774706
92	0.498515724
93	0.4970461407
94	0.4957409679
95	0.4941594253
96	0.4929198692
97	0.4913138389
98	0.4899597958
99	0.4886282393
100	0.4873125868
101	0.4860825098
102	0.4846665363
103	0.4833255534
104	0.4820188534
105	0.4807161557
106	0.4796169962
107	0.4782532634
108	0.4770602604
109	0.4756240647
110	0.4743988853
111	0.4731347361
112	0.4717701607
113	0.4704255441
114	0.4693644592
115	0.4682658264
116	0.4668659674
117	0.4656855507
118	0.464566959
119	0.4633989704
120	0.4621535689
121	0.4611629456
122	0.4599112247
123	0.4586527103
124	0.4575355405
125	0.4563326371
126	0.4550869722
127	0.4540093515
128	0.4528986591
129	0.4517102377
130	0.4504106471
131	0.4493814753
132	0.448391958
133	0.4472814236
134	0.4463552059
135	0.4454069228
136	0.444448792
137	0.4433256187
138	0.442237097
139	0.4411421505
140	0.440091756
141	0.4390353844
142	0.4379944164
143	0.4370268854
144	0.4361739467
145	0.4351044623
146	0.4340441937
147	0.433036429
148	0.4320321926
149	0.4310873063
150	0.4300908902
151	0.42917036
152	0.4282407983
153	0.4273594748
154	0.4264005541
155	0.42547797
156	0.4245869305
157	0.4235623667
158	0.4225407519
159	0.421653899
160	0.4206698585
161	0.4197103848
162	0.4189066323
163	0.4179962658
164	0.4172493356
165	0.416458775
166	0.415480659
167	0.4146334868
168	0.4136388349
169	0.412910784
170	0.4120053151
171	0.4111120637
172	0.4102687358
173	0.4093667163
174	0.4085782621
175	0.407756157
176	0.4068964776
177	0.4060787171
178	0.4053299964
179	0.4045302989
180	0.4036856282
181	0.4029854091
182	0.4023438553
183	0.4017079891
184	0.4009129785
185	0.4002200531
186	0.3995285495
187	0.3988383098
188	0.3981493603
189	0.397281413
190	0.3963896889
191	0.395601893
192	0.3947982722
193	0.3941720431
194	0.3935521334
195	0.3928969402
196	0.3922603367
197	0.3914155343
198	0.3906834811
199	0.3900005877
200	0.3891523623
201	0.3885434326
202	0.3880219217
203	0.3873509826
204	0.3865946522
205	0.3859186049
206	0.3852900323
207	0.3846499794
208	0.3839776975
209	0.3834253003
210	0.382717024
211	0.3822054661
212	0.3814874736
213	0.3808509754
214	0.3803136659
215	0.3798754135
216	0.3793251755
217	0.3786720361
218	0.3780812485
219	0.3774354818
220	0.376856938
221	0.3761918181
222	0.3755419964
223	0.3749545264
224	0.37430639
225	0.3737173665
226	0.3731110435
227	0.3725066691
228	0.3718987927
229	0.3713244882
230	0.3707977637
231	0.3702942368
232	0.3696952076
233	0.3691923653
234	0.3686189034
235	0.3679781923
236	0.3674030715
237	0.3668816923
238	0.3664023899
239	0.3659339095
240	0.3655476081
241	0.3651470879
242	0.3646498541
243	0.3641922221
244	0.3637865937
245	0.3632530495
246	0.3627654002
247	0.3622747492
248	0.361738414
249	0.3612467887
250	0.3608432404
251	0.3603741018
252	0.3599560715
253	0.3594988608
254	0.3591761486
255	0.3586314401
256	0.3581408154
257	0.3577190988
258	0.3572251301
259	0.3567960935
260	0.3563859625
261	0.3559214055
262	0.3554600081
263	0.3550792625
264	0.3546161536
265	0.3540523025
266	0.3536323765
267	0.353083218
268	0.3526825135
269	0.3522958698
270	0.3518584073
271	0.3515632899
272	0.3510144211
273	0.3506146909
274	0.3502294164
275	0.3497807632
276	0.3492944304
277	0.3488619445
278	0.3484903357
279	0.3480888676
280	0.3476574612
281	0.3472585999
282	0.3468764324
283	0.3464373374
284	0.3460659392
285	0.3457019138
286	0.3452764582
287	0.3448709351
288	0.3445603352
289	0.3442071054
290	0.3437492101
291	0.3433934525
292	0.3429483277
293	0.3425662919
294	0.3421140314
295	0.3417443184
296	0.3414043858
297	0.3410059457
298	0.3406392082
299	0.3402271814
300	0.3398333229
301	0.3393813257
302	0.3390018967
303	0.3386282077
304	0.338297017
305	0.3379661685
306	0.3376194162
307	0.3371718162
308	0.3368142682
309	0.336468806
310	0.3360922734
311	0.3357444941
312	0.3352888632
313	0.3349331847
314	0.3345699228
315	0.3342665902
316	0.333918021
317	0.333622693
318	0.3332177755
319	0.3328706545
320	0.332536541
321	0.3323526193
322	0.3320372008
323	0.3317353164
324	0.331352122
325	0.330957263
326	0.3306035329
327	0.3302870875
328	0.3300133245
329	0.3296445068
330	0.3293344598
331	0.3290202788
332	0.3286229974
333	0.3282892788
334	0.3279442117
335	0.3277030201
336	0.3273967911
337	0.3271077562
338	0.3267311182
339	0.3263692255
340	0.3260709748
341	0.3258188822
342	0.3255311902
343	0.3253055865
344	0.3250135236
345	0.3247497927
346	0.3245751922
347	0.3242477667
348	0.3239515961
349	0.3236269881
350	0.3233559372
