iter	Passed	Remaining
0	82	1241556
1	124	930651
2	159	796908
3	193	725158
4	223	670346
5	254	636347
6	284	609657
7	321	603370
8	358	597293
9	389	583180
10	426	580898
11	461	576081
12	492	568196
13	526	563658
14	554	554318
15	586	549516
16	618	545331
17	648	540169
18	679	535952
19	713	534508
20	732	522164
21	772	526010
22	819	533511
23	848	529694
24	887	531470
25	919	529478
26	958	531637
27	996	532768
28	1028	531099
29	1062	530031
30	1096	529692
31	1128	528073
32	1157	524985
33	1179	519270
34	1210	517646
35	1240	515439
36	1267	512685
37	1301	512478
38	1336	512510
39	1352	505763
40	1381	503958
41	1410	502441
42	1437	500162
43	1467	498858
44	1495	497137
45	1526	496261
46	1556	495299
47	1587	494617
48	1605	489991
49	1634	488582
50	1669	489505
51	1700	488725
52	1730	487996
53	1770	490022
54	1809	491762
55	1858	496085
56	1895	496864
57	1926	496198
58	1954	494832
59	1983	493799
60	2004	490878
61	2032	489766
62	2063	489326
63	2093	488532
64	2121	487450
65	2153	487386
66	2190	488121
67	2220	487492
68	2250	487033
69	2279	486099
70	2306	484921
71	2341	485433
72	2374	485524
73	2403	484738
74	2444	486539
75	2491	489232
76	2520	488431
77	2552	488345
78	2588	488960
79	2618	488343
80	2650	488267
81	2682	488043
82	2712	487506
83	2757	489580
84	2787	489045
85	2822	489454
86	2853	489190
87	2898	491139
88	2949	494196
89	2984	494364
90	3013	493789
91	3043	493189
92	3077	493268
93	3109	493111
94	3143	493141
95	3166	491672
96	3199	491567
97	3230	491250
98	3259	490596
99	3290	490271
100	3325	490575
101	3354	489932
102	3390	490373
103	3423	490301
104	3452	489831
105	3485	489678
106	3517	489575
107	3550	489575
108	3581	489228
109	3611	488875
110	3645	489009
111	3676	488753
112	3704	488062
113	3726	486553
114	3755	486049
115	3783	485405
116	3810	484762
117	3838	484117
118	3870	484054
119	3908	484681
120	3951	485844
121	4007	488670
122	4038	488502
123	4079	489387
124	4124	490864
125	4162	491361
126	4203	492230
127	4241	492781
128	4271	492386
129	4307	492717
130	4339	492564
131	4375	492790
132	4411	493091
133	4443	492928
134	4469	492196
135	4507	492673
136	4542	492815
137	4575	492754
138	4614	493330
139	4650	493587
140	4683	493583
141	4721	494030
142	4751	493686
143	4787	493913
144	4822	494022
145	4856	494049
146	4889	494009
147	4933	495046
148	4966	495041
149	5008	495887
150	5068	498384
151	5106	498798
152	5143	499078
153	5176	499049
